reference,prediction,wer
i hand you my mortal life,with you alone,0.8333333333333334
don't know how you did it,don't mind thinking,0.8333333333333334
no chance for one more day,you know chance will walk my day,0.8333333333333334
the words i need to hear,the way to the empty,0.8333333333333334
then everyone's gonna leave me alone,that everyone's going to leave the lone,0.8333333333333334
put him on the stage well,among the streets where,0.8333333333333334
e'r since when the heat began,that curses when he hears,0.8333333333333334
we don't need no more than,tell me the more,0.8333333333333334
ring of ice ring of ice,during my spring of life,0.8333333333333334
it's a choice between the passion,it's a stupid dream of that you're,0.8333333333333334
or would it be a waste,don't wouldn't be away,0.8333333333333334
it's not enough you listening whore,this shit is not you listening,0.8333333333333334
when you're right here by my side,when you raise a promise,0.8571428571428571
he do the song about the knife,i'll give you the song of every man,0.8571428571428571
you will find it out don't worry,you're gonna find it out no more for me,0.8571428571428571
be an artist but are you anything,being obvious that i anything,0.8571428571428571
they tasted all right to me earl,if it doesn't hurt me,0.8571428571428571
and they're dancin' at the yacht club,and the yesterday i call,0.8571428571428571
so we're making a lot of noise,so when i come on my way,0.8571428571428571
sheputs me off and puts me on,it lets me up and pass the arm,0.8571428571428571
this is the neo st valentines massacre,this is a needlesheep bound 'tjust kidding girl,0.8571428571428571
been a lot of places in memphis,the law of creation,0.8571428571428571
place to hide and having no place to,i don't have in the place too,0.875
get chor get chor ya ya da da,if it get to your life,0.875
try to forget me and just move on,i want you to move,0.875
i'll give up everything just to find you,i'll give a fuck i'd be just a fuck,0.875
now on ev'ry single road that i could take,now all of a single lovely aucoutre,0.8888888888888888
the shell of a man who could never be his best,tell of my looking at the piece,0.9090909090909091
it's where they're puttin' me,'cause we're not put in me,1.0
loving in the moonlight,i'll be gonna run,1.0
she's objective and cool,he's a mistake in cool,1.0
it's alright,soright,1.0
that spin the clock,it's screaming like that,1.0
you still want me,do you say i'll be,1.0
forget your high society,won't get your heart,1.0
ensues with brass wires,kin's shoes when brasswife,1.0
my fuckin horn,you know,1.0
no more neglect,no more'n a glass,1.0
want you to listen,why should you lose that,1.0
take away from me,you go with on me,1.0
was the spot next to you,'cause it's gonna stay,1.0
we were mischievous,devians,1.0
tell their story,how is glory,1.0
sandcastles may be cute,and castles may lead you,1.0
wantit,burning,1.0
so i shatter the hourglass,why should i be over the,1.0
go on and,the morning,1.0
you simply found the words,ain't this bad way only,1.0
it's only your shadow,so they hear shining,1.0
well they don't care,little bitch,1.0
you were the one,here,1.0
but found the one that i love,sound of wonder  low,1.0
no,well,1.0
c'mon how fucked up is you,and i'll fuck their bitch,1.0
i'm trouble,indigent,1.0
come on honey,gonna,1.0
we fucked everyone,who fucked every one,1.0
it makes me glad i'm not you,looking when this signs to do,1.0
i've always been in love with you,goodbye say goodbye,1.0
than the power of goodbye,on the cover of hopes to die,1.0
damn your love damn your lies,and we loved him belie,1.0
where do you expect us to go,when you'd stayed yesterday,1.0
didn't anybody see,in anybody's sea,1.0
no one will recall,know i really care,1.0
with this fuck of a gun,where the shit gotta fucked up,1.0
you got your last meal,you'll pass me,1.0
i think i'm para  noid,life ain't comparein' roots,1.0
je suis l'as de trefle qui pique ton coeur,but she classed the class keeping it on care,1.0
''leaving las vegas,even lost make,1.0
tied 'round their throats,they're tied round there through,1.0
your swollen pride assumes respect,you're swillin' blinder soulss strength,1.0
i stopped going to church,at bona jere,1.0
with every page,forever it brings,1.0
he's your fucking shoulder,yeah yeah,1.0
who would stand by my side,through the tsamba and myself,1.0
fellas throw your hands up,fellers gonna,1.0
you try to feel the beat,and shadow feel what they feel,1.0
seek and destroy,in a score,1.0
burn your bridges and build,bring every day,1.0
is more than just a game for two,sicker to live love thee cockrough,1.0
this rifle,time on,1.0
oh maybe,already there,1.0
bring a nickel tap'yourfeet,even if i'm happy,1.0
forever you,am i you,1.0
so you better start,just gonna,1.0
don't let,gonna let it,1.0
oh let's,roses,1.0
uhhhlords of thetime say never die,all of a lover's eyes can ever die,1.0
is this some kind of holy test,lost i can't know all we can,1.0
so hard i was trying,go on and sing,1.0
oh well,all around,1.0
the things you like,so there's your love,1.0
and only god above,can don't lead not above,1.0
though you caught me chea tin',leave me though you're coming,1.0
doo doo doo doo doo,could it ever know,1.0
well as i wander,repairs high water,1.0
it's an assisi lie,it's not a sea sealine,1.0
a long ass fuckin' time ago,let's go to bed,1.0
i wanted,i wanna hear,1.0
runnin' round leaving scars,running around and staring,1.0
ah ah ah yeah,i fucked my hair,1.0
and now the years have passed,allow me to use the,1.0
you're not a drone,could do not control,1.0
just kidding about the bitch part,a thirty miles,1.0
you're on my mind,during the night,1.0
just kidding about the bitch part,one glass,1.0
all night inside me,i need inside me and i,1.0
through the monsoon,from our soul,1.0
nothing you confess,you can't face,1.0
i rip it all to shreds and let it go,remember that i'll kiss your assy me,1.0
no orbits,know alright,1.0
just to let it go on by,safe in your place,1.0
re mains tosay,remains to say,1.0
won,one,1.0
for this one night,the words won't matter,1.0
man i feel like a woman,well she'll lie the warmer,1.0
who's gonna understand,let's go underset,1.0
ev'rywhere i go,every way i got,1.0
give you my hand,don't mind that,1.0
feeling twentytwo,feeling twenty two,1.0
in the right line,and where i find,1.0
the sun has set,soul inside,1.0
jeremy spoke in,jeremy's full end,1.0
this life of solitude,inside the solid tub,1.0
let me in i'll bury the pain,getting my buried glass,1.0
ifthat's winning i'd rather lose,that's really out of the lose,1.0
it doesn't matter,it's all the matter,1.0
the spirit of the hawk,it's very high,1.0
her to be is weak,i'll try to feel the way,1.0
la la la la la la,love you love love,1.0
when it rain and rain,what if i might,1.0
eh,ah,1.0
if we made a big mistake,could have been missed away,1.0
'cause each day that passes by,the sea is cold the passes rock,1.0
i won'tlet go,i won't let you,1.0
who do you think you are,pull the glass,1.0
but the shit that i've done,i'll take it dead and die,1.0
hot shit glamorous sweat drips mac,heartshed glamour as swept dripped about,1.0
hot shit glamorous sweat drips mac,heartshad glamour asswith dripps me,1.0
their meaning of life,leave me up,1.0
from the hooded claw,i'm not worthy girl,1.0
no need to forgive,no more than it's to believe,1.0
i said now everyoone,i can't hide my money,1.0
if i had my way we'd never close,i'm away when i'm not gone,1.0
you wear dresses that never fade,you'll forget that you're a fake,1.0
get him out for coffee hell yeah yeah,we're just gonna tell you,1.0
i appreciate,ilonate,1.0
the drummer boy from illinois went crash boom bang,from the fuck about the middle of a crack room glass,1.1111111111111112
du passe du present je l'espere du futur,you pass it you plays on your lips back,1.125
but if you're looking for comforting words,what is real luck in so confidential as,1.1428571428571428
but i'm showin' you that door,i'm a show when you're that door and right,1.1666666666666667
that have all come and gone,la la la la la la la,1.1666666666666667
show me what you're after,so we won't show that time,1.2
two glass houses twenty stones,the two more glass roses the walls don't,1.2
we are tied in history,see i'd hide and miss toy,1.2
comin' down on sunny day,come in now look at me,1.2
and allison in galveston,and i listened and gazed on,1.25
on the passenger seat,i would know how tonight,1.25
when you praise him,i never let it say,1.25
i'm hoping she'll call,and hope and you're gone,1.25
love is sweet miseryy,i will have a sweet misery,1.25
that's worth dying for,and it's with thine fore,1.25
hearts burst into fire,pass first in too far,1.25
he met marmelade,you've been my belongin',1.3333333333333333
soon but soon,the fucks were like,1.3333333333333333
i say noohoh,passing all the world,1.3333333333333333
driving me insane,ida lay his hand,1.3333333333333333
we've been falling,for we think that,1.3333333333333333
doki tto shita,so teeth must die,1.3333333333333333
shakki tto shita,a type of style,1.3333333333333333
experience slips away,it's reality it's way,1.3333333333333333
this passion inside,i pretend this passed,1.3333333333333333
it's your inside,next you may say,1.3333333333333333
in the bitterness,in a bed i've got,1.3333333333333333
wellthat's all right,all the lights alright,1.3333333333333333
hey sophisticated lady,he's a bitch kidding lady,1.3333333333333333
mine is forever,just where i am,1.3333333333333333
sixty thousand people,well said he talkin',1.3333333333333333
aishitemo ii kai,lost in wary guy,1.3333333333333333
two headed boy,to run it away,1.3333333333333333
to walk alone,to all kinds of home,1.3333333333333333
lucifer fallen light,you're safer all the light,1.3333333333333333
i'm struggling to find any poetry in this,i tell you it's a fuckin' fuckin' fuckin' about the n,1.375
shadows entertain the unwashed masses,shadows that could take me on what passes,1.4
let's get into physical,had the stains and music of,1.5
oh leave me alone,ooh ooh ooh ooh ooh ooh,1.5
morning croissants,running my soul,1.5
we're lost like refugees,we'll all say that you change,1.5
by complaining,full of complaints,1.5
and fucking,fucking rocking rock,1.5
going nowhere,i know it,1.5
and it breaks my he art  people need,leading over and says people never play the game and if they fight,1.5
the sunshine,this shit sound,1.5
i'm alive,oh my life,1.5
now oh,oh i can,1.5
fuckin' tornado,from this unknown,1.5
it's another hungry mouth to feed,it is a motherly home dream of this shit,1.5
a supermodel,it's a good night,1.5
ah fuck,you're a dick,1.5
and other cunt liketendancies,i never can't forget to say,1.5
haun ting mass appeal,i don't think i'll be still,1.5
the night,i'm gonna hide,1.5
ireoke doelkkeoran geon aranneunjido molla,and you don't know that you're a kami,1.6
ah ah ah,dub dub dub dub dub,1.6666666666666667
it feels electric,'cause it girls are like crack,1.6666666666666667
you're lonesome tonight,you'll once in the night,1.6666666666666667
it'slooking fucking narrow,so you fuck it out,1.6666666666666667
let me out,where to meet our hearts,1.6666666666666667
i'll forget you,oh oh oh oh yeah,1.6666666666666667
run deep run wild,i'm holding it up i follows you,1.75
wasted whispers,we still mayest lose,2.0
ikea,i care,2.0
eommadeurui,my dear,2.0
it's fuckin tasty,and she fucked it and tasted,2.0
kuchibiru ga kotoba,stupid look at the tall grass,2.0
my star,in the same way,2.0
angel,ain't now,2.0
itai noni chao,keep that i'm not an angel,2.0
call me sexist bitch it's still true,that i'm above a while below i took the bass i took the baby by the,2.2857142857142856
the military intelligence,we'll let there really tell a judge,2.3333333333333335
nakushiteku hodo,and ikoshite they go home,2.5
nijageun misomyeon tto damdamhaejigo,a month or nine months ago we go home scene,2.5
hey helloa,pull me on the floor,2.5
this love has taken its toll on me,and this love that i've taken this door all my mother i've taken this door all i'm all i'm all my love i've taken,2.625
yes,la la la,3.0
jimmy,you love me,3.0
oooh,oh oh oh,3.0
jalsanabojago,just another look to go,5.0
whatdoihavetodo,what do i have to do,6.0
