text,label
askin eliminate some women hate,0
but if take into consideration bitter hatred,0
have then may be little patient,0
more sympathetic situation,0
understand discrimination,0
but fuck lifes handin lemons make lemonade then,1
but if cant batter women,0
how fuck am supposed bake cake then,1
dont mistake satan,0
fatal mistake if think need be overseas take vacation,0
trip broad make fall face,0
dont be retardbe king think not,0
why be king when can be god,0
may have attention please,0
may have attention please,0
will real slim shady please stand up,0
repeat,0
will real slim shady please stand up,0
gonna have problem here,0
act like never seen white person before,0
jaws all floor like pam like tommy just burst door,0
started whoopin ass worse than before,1
first divorced throwin over furniture,0
return wait way kidding,0
didnt just say what think did,0
dr dre said,0
nothing idiots dr dres dead locked basement,0
feminist women love eminem,0
chickachicka slim shady sick,0
look walkin around grabbin youknowwhat,1
flippin youknowwho yeah but cute though,1
yeah probably got couple screws up head loose,0
but worse than whats goin parents bedrooms,1
sometimes wanna get tv just let loose,0
but cant but cool tom green hump dead moose,1
bum is lips bum is lips,0
if lucky might just give little kiss,0
thats message that deliver little kids,0
expect not know what womans clitoris is,1
course gonna know what intercourse is,0
time hit fourth grade got discovery channel dont,0
aint nothin but mammals,0
some cannibals who cut other people open like cantaloupes,1
but if can hump dead animals antelopes,1
then theres reason that man another man cant elope,0
but if feel like feel got antidote,0
women wave pantyhose sing chorus goes,0
slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
cause slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
will smith dont gotta cuss raps sell records nope,0
fuck fuck too,1
think give damn about grammy,1
half critics cant even stomach let alone stand,0
but slim what if win wouldnt be weird,0
why guys could just lie get here,0
can sit here next britney spears,0
shit christina aguilera better switch chairs,1
can sit next carson daly fred durst,0
hear argue over who gave head first,0
little bitch put blast mtv,1
yeah cute but think married kim hee,0
should download audio mp3,0
show whole world how gave eminem vd,0
sick little girl boy groups all is annoy,0
have been sent here destroy,0
theres million just like,0
who cuss like who just dont give fuck like,1
who dress like walk talk act like,0
just might be next best thing but not quite,0
cause slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
cause slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
like head trip listen,0
cause only givin things joke about friends inside livin room,1
only difference is got balls say front,0
dont gotta be false or sugarcoat all,0
just get mic spit,0
whether like admit err just shit,1
better than ninety percent rappers out can,0
then wonder how can kids eat up these albums like valiums,1
funny cause rate goin when thirty,0
be only person nursin home flirting,0
pinchin nurses asses when jacking off jergens,1
jerking but this whole bag viagra isnt working,1
every single person is slim shady lurkin,0
could be working burger king spittin onion rings ch puh,0
or parkin lot circling screaming dont give fuck,1
windows down system up,0
will real shady please stand up,0
put one those fingers each hand up,0
be proud be out mind out control,0
one more time loud as can how does,0
slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
cause slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
cause slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
cause slim shady yes real shady,0
all other slim shadys are just imitating,0
wont real slim shady please stand up,0
please stand up please stand up,0
guess theres slim shady all,0
fuck lets all stand up,1
via mtv,0
lately been hard reach,0
been too long own,0
everybody has private world where can be alone,0
are calling,0
are tryin get through,0
are reaching out,0
reaching out,0
just fucking depressed,1
just cant seem get out this slump,0
if could just get over this hump,0
but need something pull out this dump,0
took bruises took lumps,0
fell down then got right back up,0
but need that spark get psyched back up,0
order pick mic back up,0
dont know how or why or when,0
ended up this position,0
starting feel distant again,0
decided just pick this pen,0
up try make attempt,0
vent but just cant admit,0
or come grips fact that,0
may be done rap need new outlet,0
know some shits hard swallow,1
but just cant sit back wallow,0
own sorrow but know one fact,0
be one tough act follow,0
one tough act follow,0
be one tough act follow,0
here today gone tomorrow,0
but have walk thousand miles,0
shoes just see,0
what like be,0
be lets trade shoes,0
just see what itd be like,0
feel pain feel,0
inside each others minds,0
just see what find,0
look shit through each others eyes,1
but dont let say aint beautiful,0
can all get fucked just stay true,1
dont let say aint beautiful,0
can all get fucked just stay true,1
think startin lose sense humor,0
everythings tense gloom,0
almost feel like gotta check temperature,0
room just as soon as,0
walk like all eyes,0
try avoid any eye contact,0
cause if that then opens door,0
conversation like want that,0
not lookin extra attention,0
just wanna be just like,0
blend rest room,0
maybe just point closest restroom,0
dont need fuckin man servant,1
tryna follow around wipe ass,1
laugh every single joke crack,0
half aint even funny like,0
marshall funny man,0
should be comedian goddamn,1
unfortunately am,0
just hide behind tears clown,0
why dont all sit down,0
listen tale about tell,0
dont gotta trade shoes,0
aint gotta walk thousand miles,0
shoes just see,0
what like be,0
be lets trade shoes,0
just see what itd be like,0
feel pain feel,0
inside each others minds,0
just see what find,0
look shit through each others eyes,1
but dont let say aint beautiful,0
can all get fucked just stay true,1
dont let say aint beautiful,0
can all get fucked just stay true,1
nobody asked life deal,0
these bullshit hands dealt,1
gotta take these cards,0
flip dont expect help,0
now couldve either just sat,0
ass pissed moaned,1
or take this situation which placed,0
get up get own,0
was never type kid,0
wait door pack bags,0
sat porch hoped prayed,0
dad show up who never did,0
just wanted fit every single place every school went,0
dreamed being that cool kid,0
even if meant actin stupid,0
aunt edna always told,0
keep making that face get stuck like that,0
meanwhile just standin there,0
holdin tongue tryin talk like this,0
til stuck tongue that frozen,0
stop sign pole eightyearsold,0
learned lesson then cause wasnt,0
tryin impress friends,0
but already told whole life story,0
not just based description,0
cause where see from where sittin,0
probably 110 different,0
guess would have walk,0
mile each others shoes least,0
what size wear wear 10s,0
lets see if can fit feet,0
shoes just see,0
what like be,0
be lets trade shoes,0
just see what itd be like,0
feel pain feel,0
inside each others minds,0
just see what find,0
look shit through each others eyes,1
but dont let say aint beautiful,0
can all get fucked just stay true,1
dont let say aint beautiful,0
can all get fucked just stay true,1
lately been hard reach,0
been too long own,0
everybody has private world,0
where can be alone,0
are calling,0
are tryin get through,0
are reaching out,0
reaching out,0
yeah,0
babies,0
stay strong,0
dadll be soon,0
rest world,0
god gave new shoes,0
fit,0
put wear,0
be man,0
be proud who are,0
even if sounds corny,0
dont never let one tell aint beautiful soohoh,0
via mtv,0
monster,0
can swallow bottle alcohol feel like godzilla,0
better hit deck like card dealer,0
whole squads here walking around party,0
cross between zombie apocalypse bbobby,0
brain heenan which is probably,0
same reason wrestle mania,0
shadys this bitch possed up,1
consider cross costly mistake,0
if sleepin hoes better get insomnia,0
adhd hydroxycut,0
pass courvoisier hey,0
ak melee finna set like playdate,0
better vacate retreat like vacay mayday ayy,0
this beat is cray ray j,0
laughing all way bank spray flames,0
cannot tame or placate,0
monster,0
get way ima feed monster yeah,0
normal during day but night turn monster yeah,0
when moon shines like ice road truckers,0
look like villain outta those blockbusters,0
godzilla fire spitter monster,0
blood dance floor louis v carpet,0
fire godzilla fire monster,0
blood dance floor louis v carpet,0
just product slick rick onyx told lick balls,1
had just appalled did many things that pissed off,1
impossible list all,0
midst all this,0
mental hospital crystal ball,0
tryna see will still be like this tomorrow,0
risperdal voices whisper,0
fist is balled back up against wall pencil drawn,0
this is just song ballistic,0
just pulled pistol guy missile launcher,1
just loch ness mythological,0
quick tell bitch screw off like fifth vodka,1
when twist top bottle,0
monster,0
get way ima feed monster yeah,0
normal during day but night turn monster yeah,0
when moon shines like ice road truckers,0
look like villain outta those blockbusters,0
godzilla fire spitter monster,0
blood dance floor louis v carpet,0
fire godzilla fire monster,0
blood dance floor louis v carpet,0
if never gave damn ayy raise hand,1
cause about set trip vacation plans,0
point like index is all will ever get is,0
motherfuckin finger finger prostate exam xam,1
how can have all these fans perspire,0
like liars pants fire,0
got plans retire still man admire,0
these chicks are spazzin out only get more handsome flyer,0
got passin out like what when hand someone flyers,0
what goes around comes around just like blades chainsaw,1
cause caught flack but dollars stacked right off bat like baseball,0
like kid ink bitch got racks much ease that call diddy,1
cause make bands call getting cheese cakewalk cheesecake yeah,0
bitch player too motherfuckin stingy cher,1
wont even lend ear aint even pretending care,0
but tell bitch marry if bury,1
face genital area original richard ramirez,1
cristhian rivera cause lyrics never sit,0
wanna give chair,0
like paraplegic scary call hari kari,0
cause ery tom dick harry carry merriam motherfuckin dictionary,1
swearing up down can spit this shits hilarious,1
time put these bitches obituary column,1
wouldnt see eye eye staring problem,0
get shaft like steering column monster,0
trigger happy pack heat but black ink,1
evil half bad meets,0
evil that means take back seat,0
take back fat beats maxi single,0
look rap sheet what attracts these people,0
is gangsta bitch like apache catchy jingle,1
stack chips barely got halfeaten cheeto,0
fill venom eliminate,1
other words minute maid,0
dont wanna hurt but did fit rage,0
murderin again nobody will evade,1
finna kill dump all fuckin bodies lake,1
obliterating everything incinerate renegade,0
here make anybody who want pen afraid,0
but dont nobody want but gonna get anyway,0
cause beginnin feel like mentally,0
attila kill or be killed killer bee vanilla gorilla,1
bringin killer within outta,1
dont wanna be enemy demon who entered,0
be receivin end what stupidity itd be,0
every bit mes epitome spitter,0
when vicinity motherfucker better duck,1
or finna be dead minute run into,1
hundred percent is fifth percent,0
bout fuckin finish bitch unfadable,1
wanna battle available blowin up like inflatable,0
undebatable unavoidable unevadable,0
toilet bowl got trailer full money paid full,0
not afraid pull,0
man stop,0
look what plannin,0
meet eddie twentythree years old,0
fed up life way things are going,0
damn going fucking insane,1
decides rob liquor store,0
gotta take this shit cant take more holmes,1
but way has sudden change heart,0
shit is,1
suddenly gotta this,0
conscience comes into play gotta this,0
alright stop huh,0
now before walk door this liquor store,0
try get money out drawer,0
better think consequence who are,0
motherfuckin conscience,1
thats nonsense,0
gaffle money run one aunts cribs,0
borrow damn dress one blond wigs,1
can borrow this,0
tell need place stay be safe days,0
if shave legs renees razor blades,0
yeah but if all goes through like supposed,0
whole neighborhood knows expose,0
think about before walk door first,0
look store clerk older than george burns,0
fuck that that shit shoot that bitch,1
can afford blow this shit are that rich,1
why give fuck if dies are that bitch,1
really think gives fuck if have kids,1
man dont not worth risk right,0
not over this shit stop,1
drop biscuit will,0
dont even listen slim bad know what dre dont like attitude,0
come just come here minute,0
dont know,0
look look,0
damn,1
look gonna be alright,0
ookay,0
look give kiss pull pants off come,1
meet stan twentyone years old,0
after meeting young girl rave party,0
things start getting hot heavy upstairs bedroom,0
once again conscience comes into play,0
now listen while kissin cheek,0
smearin lipstick slip this drink,0
now all gotta is nibble this little bitchs earlobe,1
this girls only fifteen years old,0
shouldnt take advantage not fair,0
look bush does got hair uhhuh,0
fuck this bitch right here spot bare,1
til passes out forgot how got there,0
man aint ever seen that one movie kids,0
but seen porno son doobiest,1
shit wanna get hauled off jail,1
man fuck that hit that shit raw dog then bail,1
here lay,0
man feels good be home,0
meet grady twentynineyearold construction worker,0
after coming home from hard days work,0
walks door trailer park home,0
find wife bed another man,0
what fuck grady,1
alright calm down relax start breathin,0
fuck that shit just caught this bitch cheatin,1
while work some dude tryna get off,0
fuck slittin throat cut this bitchs head off,1
wait what if theres explanation this shit,1
what tripped fell landed dick,1
tsh alright shady maybe right grady,0
but think about baby before get all crazy,0
okay thought about still wanna stab,1
grab throat get daughter kidnap,1
thats what did be smart dont be retard,1
gonna take advice from somebody who slapped dee barnes,0
what say,0
whats wrong didnt think remember,0
ima kill motherfucker,1
temper,0
mr dre mr nwa mr ak,0
comin straight outta compton better make way,0
how fuck gonna tell this man not be violent,1
cause dont need same route that went,0
been there done that,0
aw fuck what am sayin,1
shoot both grady wheres gun,1
woah aget hands air,0
get clappin like back forth,0
becausea this is what thought wasnt,0
bes brothers representin dirty dozen,1
be fro double g,0
check out man goes name er,0
slim shady brain dead like jim brady,0
m80 little like that kim lady,1
buzzin dirty dozen naughty rotten rhymer,0
cursin players worse than marty schottenheimer,0
wacker than motherfucker bit style from,1
aint gon sell two copies if press double album,0
admit fuck while comin out open,1
doin acid crack smack coke smokin dope then,0
name is marshall mathers alcoholic hi marshall,0
have disease dont know what call,0
better hide wallet cause comin up quick strip cash,1
bought ticket concert just come whip ass,1
bitch comin out swingin fast make eyes spin,1
gettin knocked fuck out like mike tyson,1
proof is puddin just ask deshaun holton,0
slit motherfuckin throat worse than ron goldman,1
when see block two glocks,0
screamin fuck world like 2pac,1
just dont give fuck,1
talkin that shit behind back dirty mackin,1
tellin boys that crack,0
just dont give fuck,1
put tape back rack,0
run tell friends shit is wack,1
just dont give fuck,1
but see street duck,0
cause gon get stuck stole snuffed,1
cause just dont give fuck,1
nicer than pete but search crush milkbone,0
everlastin melt vanilla ice like silicone,0
enough just straight up diss reason,0
colder than snow season when twenty below freezin,0
flavor seasoning this is sneak preview,0
diss magazine still wont get weak review,0
make freak leave smell folgers crystals,0
this is lyrical combat gentlemen hold pistols,0
while form like voltron blast shoulder missiles,1
slim shady mm was old initials bye,0
extortion snortin supportin abortion,0
pathological liar blowin shit outta proportion,1
looniest zaniest spontaneous sporadic,0
impulsive thinker compulsive drinker addict,0
half animal half man,0
dumpin dead body inside fuckin trash can,1
more holes than afghan,0
when see block two glocks,0
screamin fuck world like 2pac,1
just dont give fuck,1
talkin that shit behind back dirty mackin,1
tellin boys that crack,0
just dont give fuck,1
put tape back rack,0
run tell friends shit is wack,1
just dont give fuck,1
but see street duck,0
cause finna get stuck stole snuffed,1
cause just dont give fuck,1
somebody let out this limousine hey let out,0
caged demon,0
stage screamin like rage against machine,0
convinced fiend,0
shootin up while this record is spinnin,0
clinically braindead dont need second opinion,0
fuck droppin jewel flippin sacred treasure,1
bite motherfuckin style just make fresher,1
cant take pressure sick bitches,1
sick naggin bosses bitchin while washin dishes,1
school never said much too busy havin head rush,0
doin too much rush had face flushed like red blush,0
then went jim beam thats when face grayed,0
went gym eighth grade womens swim team,0
dont take joke comedian,0
too many mental problems got snortin coke smokin weed again,1
goin up over curb drivin median,0
finally made home but dont got key get,0
when see block two glocks,0
screamin fuck world like 2pac,1
just dont give fuck,1
talkin that shit behind back dirty mackin,1
tellin boys that crack,0
just dont give fuck,1
put tape back rack,0
run tell friends shit is wack,1
just dont give fuck,1
but see street duck,0
cause finna get stuck stole snuffed,1
cause just dont give fuck,1
shit fuck everybody,1
outsiderz pacewon young zee fuck entire world,1
du,0
hi name is what name is who,0
name is chka slim shady,0
hi name is huh name is what,0
name is chka slim shady,0
hi name is what excuse name is who,0
name is chka slim shady,0
can have attention class one second,0
hi name is huh name is what,0
name is chka slim shady,0
hi kids like violence yeah yeah,0
wanna see stick nineinch nails through each one eyelids uhhuh,0
wanna copy exactly like did yeah,0
try cid get fucked up worse than life is huh,1
brains dead weight tryna get head straight,0
but cant figure out which spice girl want impregnate,0
dr dre said slim shady basehead,0
then whys face red man wasted,1
since age 12 felt like someone else,0
cause hung original self from top bunk belt,0
got pissed off ripped pamela lees tits off,1
smacked hard knocked clothes backwards like kris kross,0
smoke fat pound grass fall ass,1
faster than fat bitch who sat down too fast,1
come here slut shady wait minute thats girl dawg,1
dont give fuck god sent piss world off,1
hi name is what name is who,0
name is chka slim shady,0
hi name is huh name is what,0
name is chka slim shady,0
hi name is what name is who,0
name is chka slim shady,0
hi name is huh name is what,0
name is chka slim shady,0
english teacher wanted flunk junior high,0
thanks lot next semester be 35,0
smacked face eraser chased stapler,0
stapled nuts stack paper ow,1
walked strip club had jacket zipped up,1
flashed bartender then stuck dick tip cup,1
extraterrestrial running over pedestrians spaceship while screaming lets just be friends,0
99 percent life was lied,0
just found out mom does more dope than damn,1
told grow up be famous rapper,0
make record about doin drugs name after,1
thank,0
know blew up when women rush stands,0
try touch hands like some screamin usher fans,0
this guy white castle asked autograph dude can get autograph,0
signed dear dave thanks support asshole,1
hi name is huh name is who,0
name is chka slim shady,0
hi name is what name is who,0
name is chka slim shady,0
hi name is huh name is who,0
name is chka slim shady,0
hi name is what name is who,0
name is chka slim shady,0
stop tape this kid needs be locked away get,0
dr dre dont just stand there operate,0
not ready leave too scary die fuck that,1
have be carried inside cemetery buried alive,0
huh yup,0
am comin or goin can barely decide,0
just drank fifth vodka dare drive ahead,1
all life was very deprived,0
aint had woman years palms are too hairy hide whoops,0
clothes ripped like incredible hulk,0
spit when talk fuck anything that walks come here,1
when was little used get hungry would throw fits,0
how gonna breastfeed mom aint got tits,1
lay awake strap bed,0
bulletproof vest shoot head bang,1
cause steamin mad,0
way when see dad yeah,0
tell that slit throat this dream had,1
hi name is what name is who,0
name is chka slim shady,0
hi name is huh name is what,0
name is chka slim shady,0
hi name is who name is huh,0
name is chka slim shady,0
hi name is huh name is who,0
name is chka slim shady,0
okay going attempt drown,1
can try this home,0
can be just like,0
mic check two recordin,0
cancerous when diss wouldnt wanna answer this,0
if responded back battle rap wrote canibus,0
strangle death then choke again,1
break fuckin legs til bones poke through skin,1
beef ima even score equally,0
take jerry springer beat ass legally,1
get too blunted off funny homegrown,1
cause when smoke out hit trees harder than sonny bono,1
if said never did drugs,1
that would mean lie get fucked more than president does,1
hillary clinton tried slap call pervert,0
ripped fuckin tonsils out fed sherbet bitch,1
nerves hurt lately edge,0
grabbed vanilla ice ripped out blond dreads come here motherfucker,1
every girl ever went out has gone les,0
follow exactly what song says,0
smoke weed take pills drop out school kill people,1
drink jump behind wheel like was still legal,1
dumb enough walk store steal,0
dumb enough ask date lauryn hill,0
some people only see that white ignorin skill,0
cause stand out like green hat orange bill,0
but dont get pissed dont even see through mist,0
how fuck can be white dont even exist,1
get clean shave bathe rave,0
die from overdose dig up out grave,1
middle finger wont down how wave,0
this is how supposed teach kids how behave,0
now follow exactly what see,0
dont wanna grow up be just like,0
slap women eat shrooms then od,0
now dont want grow up be just like marcus allen went over see nicole,0
when heard knock door mustve been ron gold,0
jumped behind door put orgy hold,1
killed both then smeared blood white bronco did,1
mind wont work if spine dont jerk,1
slapped garth brooks out rhinestone shirt,0
not player just rhyme sayer,0
thatll spray aerosol can up ozone layer,0
rap styles warped runnin out morgue,1
dead grandmothers corpse throw porch,0
jumped chickenhawk cartoon cape,0
beat up foghorn leghorn acorn,0
bout as normal as norman bates deformative traits,0
premature birth that was four minutes late,0
mother are there love,0
never meant hit over head that shovel that shovel,1
will someone please explain brain,0
that just severed main vein chainsaw pain,0
take breather either high or nuts,1
cause if aint tiltin this room neither am,0
when see mom thermometer shoved ass,1
then probably is obvious got,0
cause when drop this solo shit over,1
bought cages tape opened dubbed over,0
came club drunk fake,1
dont wanna grow up be just like,0
been ten women who got hiv,1
now dont wanna grow up be just like,0
got genital warts burns when pee,1
dont wanna grow up be just like,0
tie rope around penis jump from tree,1
probably wanna grow up be just like,0
shady aftermath,0
look that bitch,1
shit hey damn,1
there shakin that ass flo,1
bumpin grindin that pole,0
way grindin that pole,0
think losin control,0
get buzzed get drunk get crunk,1
get fucked up hit strip club,1
dont forget ones get dick rubbed get fucked,1
get sucked get wasted shitfaceted,1
pasted plastered puke drink throw up,0
get new drink hit bathroom sink throw up,0
wipe shoe clean got routine goin,0
still got few chunks shoestrings showin,0
was dehydrated til beat vibrated,0
was revived as soon as this bitch gyrated,1
hips licked lips that was,0
had get nate dogg here sing some shit,1
two one from one three,0
like good pussy like good tree,1
smoke much weed wouldnt believe,1
get ass than toilet seat,1
three one from one three,0
met bad bitch last night d,1
let tell how made leave,0
conversation hennessy,0
been motherfuckin mountaintop,1
heard motherfuckers talk seen drop,1
if aint got weapon ima pick up rock,0
when bust ass gon continue rock,0
get ass off wall two left feet,1
real easy just follow beat,0
dont let that fine girl pass,0
look real close cause strobe lights lie,0
bout have party turn music up,0
lets get started head shake butt,0
lookin girl body sexy strut,0
wanna get poppin baby step right up,0
some girls act retarded,1
some girls are bout bout,0
lookin girl that will whatever fuck,1
say every day be givin up,0
now shake that ass,1
shake that ass come girl,1
shake that ass,1
shake that ass girl,1
shake that ass,1
shake that ass come girl,1
shake that ass,1
shake that ass,1
menace dentist oral hygienist,0
open mouth about four or five minutes,0
take little bit this fluoride rininse,0
swish but dont spit swallow now finish yeah,0
nate dodoubleg,0
lookin couple bitches some double ds,1
pop little champagne couple es,0
slip bubbly finna have,0
bout have party turn music up,0
lets get started head shake butt,0
lookin girl can fuck hummer truck,1
apple bottom jeans big ol butt,0
some girls act retarded man told,1
some girls are bout bout,0
want bitch sit crib panties,1
knows that can but wont say,0
now look this lady all front,0
sexy as can be,0
tonight want slut would be,1
heard was freaky from friend,0
now hope dont get mad,0
but told nate was freak,0
said wants slut hope dont mind,1
told how like from behind,0
now shake that ass,1
shake that ass come girl,1
shake that ass,1
shake that ass girl,1
shake that ass,1
shake that ass come girl,1
shake that ass,1
shake that ass,1
bout have party turn music up,0
lets get started head shake butt,0
lookin girl body sexy strut,0
wanna get poppin baby step right up,0
some girls act retarded,1
some girls are bout bout,0
lookin girl that will whatever fuck,1
say every day be givin up,0
there shakin that ass flo,1
bumpin grindin that pole,0
way grindin that pole,0
think losin control,0
god,0
aint leavin without bitch,1
comin home,0
boy boy,0
boy,0
girl,0
nate dogg,0
soldier,0
soldier ladedah dah dah,0
soldier,0
soldier,0
never was thug just infatuated guns,1
never was gangsta til graduated one,0
got rep villain weapon concealin,0
took image thug kept shit appealin,1
willin stick out neck respect,0
if meant life or death never live regret what said,0
when people just wanna see if true,0
if youwhat say raps what,0
feel part obligation fulfill,0
when see streets face face are real,0
confrontation aint conversation if feel,0
violation any hesitationll get killed,1
if feel kill if conceal reveal,1
being reasonablell leave full bullets pull,1
squeeze til empty tempt push pussies,1
need good reason give this trigger good squeeze,1
soldier,0
these shoulders hold up much,0
wont budge never fall or fold up,0
soldier,0
even if collarbones crush or crumble,0
will never slip or stumble,0
soldier,0
these shoulders hold up much,0
wont budge never fall or fold up,0
soldier,0
even if collarbones crush or crumble,0
will never stumble,0
love pissin off gets off,1
like lawyers when fuckin judge lets off,1
all motherfuckers gotta is set off,1
violate all motherfuckin bets be off,1
lit fuse anything bitch news,1
pistolwhippin motherfucking bouncers 62,1
who needs bullets as soon as pull sweat bullets,0
excellent method get rid next bully,0
actually better cause instead murderin,0
can hurt come back again kick dirt,0
like pourin salt wounds assault get sued,1
can smell lawsuits soon as waltz room,0
everybody halts stops calls cops,1
all see is bitches comin out halter tops,1
runnin duckin out hot rocks parking lot,1
all get shot whether fault or not cause,1
soldier,0
these shoulders hold up much,0
wont budge never fall or fold up,0
soldier,0
even if collarbones crush or crumble,0
will never slip or stumble,0
soldier,0
these shoulders hold up much,0
wont budge never fall or fold up,0
soldier,0
even if collarbones crush or crumble,0
will never stumble,0
spit slow these kids know that talkin,0
give back these damn critics sock,1
like thug little bit pac influence,1
spew look how got bitches rockin,1
motherfuckers could never like could,1
dont even try look stupid not pursue,0
dont ever life try knock truest,0
spit illest shit ever been dropped twoinch,1
tickytock listen as sound ticks clock,0
listen sound kim as licks cock,1
listen sound spillin heart through this pen,0
motherfuckers know that never be marshall again,1
full controversy until retire jersey,0
til fire inside dies expires thirty,0
lord have mercy any more these rappers that verse,0
put curse authorities face adversity,0
soldier,0
these shoulders hold up much,0
wont budge never fall or fold up,0
soldier,0
even if collarbones crush or crumble,0
will never slip or stumble,0
soldier,0
these shoulders hold up much,0
wont budge never fall or fold up,0
soldier,0
even if collarbones crush or crumble,0
will never stumble,0
left left left right left,0
left left left right left,0
left left left right left,0
left left left right left,0
teas gone cold wondering why,0
got out bed all,0
morning rain clouds up window window,0
cant see all,0
even if could itd all be grey,0
but picture wall,0
reminds that not bad not bad bad,0
